name	Gene	Blood_cancer_activity	Blood_healthy_activity	Breast_cancer_activity	Breast_healthy_activity	Liver_cancer_activity	Liver_healthy_activity	Pancreas_cancer_activity	Pancreas_healthy_activity
Enhancer_chr1_161462330_161464330	HSPA6	on	off	off	off	off	off	off	off
Enhancer_chr1_161462830_161464830	HSPA6	on	off	off	off	off	off	off	off
Enhancer_chr1_161463330_161465330	HSPA6	on	off	off	off	off	off	off	off
Enhancer_chr1_161469830_161471830	HSPA6	on	off	off	off	off	off	off	off
Enhancer_chr1_161470330_161472330	HSPA6	on	off	off	off	off	off	off	off
Enhancer_chr1_161471330_161473330	HSPA6	on	off	off	off	off	off	off	off
Enhancer_chr1_161471830_161473830	HSPA6	on	off	off	off	off	off	off	off
Enhancer_chr1_161472330_161474330	HSPA6	on	off	off	off	off	off	off	off
Enhancer_chr1_161472830_161474830	HSPA6	on	off	off	off	off	off	off	off
Enhancer_chr1_161473330_161475330	HSPA6	on	off	off	off	off	off	off	off
Enhancer_chr1_161473830_161475830	HSPA6	on	on	off	off	off	off	off	off
Enhancer_chr1_161474330_161476330	HSPA6	on	on	off	off	off	off	off	off
Enhancer_chr1_161474830_161476830	HSPA6	on	on	off	off	off	off	off	off
Enhancer_chr1_161475330_161477330	HSPA6	on	on	off	off	off	off	off	off
Enhancer_chr1_161475830_161477830	HSPA6	on	off	off	off	off	off	off	off
Enhancer_chr1_161476330_161478330	HSPA6	on	off	off	off	off	off	off	off
Enhancer_chr1_161476830_161478830	HSPA6	on	off	off	off	off	off	off	off
Enhancer_chr1_161477330_161479330	HSPA6	on	off	off	off	off	off	off	off
Enhancer_chr1_161491830_161493830	HSPA6	off	off	off	off	off	on	on	on
Enhancer_chr1_161492330_161494330	HSPA6	off	off	off	off	off	on	on	on
Enhancer_chr1_161492830_161494830	HSPA6	off	off	off	off	off	on	on	on
Enhancer_chr1_161493330_161495330	HSPA6	off	off	off	off	off	on	on	on
Enhancer_chr1_161493830_161495830	HSPA6	off	off	off	off	off	on	on	on
Enhancer_chr1_161494330_161496330	HSPA6	off	off	off	off	off	on	on	on
Enhancer_chr1_161498830_161500830	HSPA6	on	off	off	off	off	on	off	on
Enhancer_chr1_161499330_161501330	HSPA6	on	off	off	on	off	on	on	on
Enhancer_chr1_161499830_161501830	HSPA6	on	off	off	on	off	on	off	on
Enhancer_chr1_161500330_161502330	HSPA6	on	off	off	on	off	on	off	on
Enhancer_chr1_161500830_161502830	HSPA6	on	on	off	on	off	on	off	on
Enhancer_chr1_161501330_161503330	HSPA6	off	on	off	on	off	on	off	off
Enhancer_chr1_161507330_161509330	HSPA6	off	on	off	off	off	off	on	off
Enhancer_chr1_161507830_161509830	HSPA6	off	on	off	off	off	on	on	off
Enhancer_chr1_161508330_161510330	HSPA6	on	off	off	off	off	off	on	off
Enhancer_chr1_161508830_161510830	HSPA6	on	off	off	off	off	off	on	off
Enhancer_chr1_161509330_161511330	HSPA6	on	off	off	off	off	on	on	off
Enhancer_chr1_161509830_161511830	HSPA6	on	on	off	off	off	on	on	off
Enhancer_chr1_161510330_161512330	HSPA6	on	on	off	off	off	on	off	off
Enhancer_chr1_161510830_161512830	HSPA6	off	off	off	off	off	on	off	off
Enhancer_chr1_20912948_20914948	PINK1	off	off	off	off	off	on	off	off
Enhancer_chr1_20913448_20915448	PINK1	off	off	off	off	off	on	off	off
Enhancer_chr1_20913948_20915948	PINK1	off	off	off	on	off	on	off	off
Enhancer_chr1_20914448_20916448	PINK1	off	off	off	on	off	on	off	off
Enhancer_chr1_20914948_20916948	PINK1	off	off	off	on	off	on	off	off
Enhancer_chr1_20915448_20917448	PINK1	off	off	off	on	off	on	off	off
Enhancer_chr1_20915948_20917948	PINK1	off	off	off	on	off	on	off	off
Enhancer_chr1_20916448_20918448	PINK1	off	off	off	on	off	on	off	off
Enhancer_chr1_20916948_20918948	PINK1	off	off	off	on	off	on	off	off
Enhancer_chr1_20917448_20919448	PINK1	off	off	off	off	off	on	off	off
Enhancer_chr1_20926448_20928448	PINK1	off	off	off	off	off	on	off	off
Enhancer_chr1_20926948_20928948	PINK1	off	off	off	off	off	on	off	off
Enhancer_chr1_20927448_20929448	PINK1	off	off	off	off	off	on	off	off
Enhancer_chr1_20927948_20929948	PINK1	off	off	off	off	off	on	off	off
Enhancer_chr1_20928448_20930448	PINK1	off	off	off	off	off	on	off	off
Enhancer_chr1_20928948_20930948	PINK1	off	off	off	off	off	on	off	off
Enhancer_chr1_20929448_20931448	PINK1	off	off	off	off	off	on	off	off
Enhancer_chr1_20929948_20931948	PINK1	off	off	off	off	off	on	off	off
Enhancer_chr1_20930448_20932448	PINK1	off	off	off	off	off	on	off	off
Enhancer_chr1_20930948_20932948	PINK1	off	off	off	off	off	on	off	off
Enhancer_chr1_20931448_20933448	PINK1	off	off	off	off	off	on	off	off
Enhancer_chr1_20931948_20933948	PINK1	off	off	off	off	off	on	off	off
Enhancer_chr1_20937448_20939448	PINK1	off	off	on	off	off	on	off	off
Enhancer_chr1_20937948_20939948	PINK1	off	off	on	off	off	off	on	off
Enhancer_chr1_20938448_20940448	PINK1	off	off	on	off	off	off	on	off
Enhancer_chr1_20938948_20940948	PINK1	off	off	off	off	off	off	on	off
Enhancer_chr1_20939448_20941448	PINK1	off	off	off	off	off	off	on	off
Enhancer_chr1_20939948_20941948	PINK1	off	off	off	off	off	on	on	off
Enhancer_chr1_20940448_20942448	PINK1	off	off	on	off	off	on	on	off
Enhancer_chr1_20940948_20942948	PINK1	off	off	on	off	off	on	on	off
Enhancer_chr1_20941448_20943448	PINK1	off	off	on	off	off	on	off	off
Enhancer_chr1_20957448_20959448	PINK1	off	off	on	off	off	on	off	off
Enhancer_chr1_20957948_20959948	PINK1	on	off	on	off	on	on	on	off
Enhancer_chr1_20958448_20960448	PINK1	on	on	on	off	on	on	on	on
